[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 83
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 84
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 85
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 86
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 87
[03-Jul-2014 23:42:00 Asia/Shanghai] PHP Notice:  Undefined index: list in E:\server\nginx\html\H-wordlist\twig.php on line 35
[03-Jul-2014 23:42:00 Asia/Shanghai] PHP Notice:  Undefined index: gro in E:\server\nginx\html\H-wordlist\twig.php on line 35
[03-Jul-2014 23:42:00 Asia/Shanghai] PHP Notice:  Undefined index: idlo in E:\server\nginx\html\H-wordlist\twig.php on line 35
[03-Jul-2014 23:42:00 Asia/Shanghai] PHP Notice:  Undefined index: idup in E:\server\nginx\html\H-wordlist\twig.php on line 35
[03-Jul-2014 23:42:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\twig.php on line 39
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\getwdlist.php on line 10
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 23
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 32
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 42
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 51
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 60
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 69
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 83
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 84
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 85
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 86
[03-Jul-2014 23:42:01 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 87
[03-Jul-2014 23:42:46 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 23
[03-Jul-2014 23:42:46 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 32
[03-Jul-2014 23:42:46 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 42
[03-Jul-2014 23:42:46 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 51
